_id,operator_registration_number,postal_code,ward_number,ward_name
450091,STR-2012-GYRVHH,M4J,14,Toronto-Danforth
450092,STR-2012-HXKVHL,M6K,10,Spadina-Fort York
450093,STR-2012-FLBHHB,M6J,10,Spadina-Fort York
450094,STR-2012-FTHHHC,M5V,10,Spadina-Fort York
450095,STR-2012-GBPHHD,M6H,9,Davenport
450096,STR-2012-GJVHHF,M5V,10,Spadina-Fort York
450097,STR-2012-GSBHHG,M4J,14,Toronto-Danforth
450098,STR-2012-GZHHHH,M5T,11,University-Rosedale
450099,STR-2012-HHPHHJ,M1K,20,Scarborough Southwest
450100,STR-2012-HQVHHK,M4B,19,Beaches-East York
450101,STR-2012-FLRVHB,M6H,9,Davenport
450102,STR-2012-FTXVHC,M5E,10,Spadina-Fort York
450103,STR-2012-GCDVHD,M4L,14,Toronto-Danforth
450104,STR-2012-GKKVHF,M9V,1,Etobicoke North
450105,STR-2012-GSRVHG,M4J,14,Toronto-Danforth
450106,STR-2012-HJDVHJ,M4C,19,Beaches-East York
450107,STR-2101-HYRVHL,M4J,14,Toronto-Danforth
450108,STR-2101-JGXVHM,M4H,15,Don Valley West
450109,STR-2101-FMJPHC,M5A,13,Toronto Centre
450110,STR-2101-FVQPHD,M2R,18,Willowdale
450111,STR-2101-GCWPHF,M4S,12,Toronto-St. Paul's
450112,STR-2101-GLCPHG,M1K,20,Scarborough Southwest
450113,STR-2101-GTJPHH,M5S,11,University-Rosedale
450114,STR-2101-HBQPHJ,M5J,10,Spadina-Fort York
450115,STR-2101-HSCPHL,M9C,2,Etobicoke Centre
450116,STR-2101-HZJPHM,M6A,8,Eglinton-Lawrence
450117,STR-2101-FFTBHB,M3H,6,York Centre
450118,STR-2101-FWGBHD,M9B,2,Etobicoke Centre
450119,STR-2101-GDMBHF,M6G,12,Toronto-St. Paul's
450120,STR-2101-GLTBHG,M5V,10,Spadina-Fort York
450121,STR-2101-HSTBHL,M4W,11,University-Rosedale
450122,STR-2101-HZZBHM,M2J,17,Don Valley North
450123,STR-2102-FFKXVB,M1R,21,Scarborough Centre
450124,STR-2101-FGJPHB,M8V,3,Etobicoke-Lakeshore
450125,STR-2101-FPQPHC,M5R,11,University-Rosedale
450126,STR-2101-FWWPHD,M9C,2,Etobicoke Centre
450127,STR-2101-GFCPHF,M5V,10,Spadina-Fort York
450128,STR-2101-GVQPHH,M4Y,13,Toronto Centre
450129,STR-2101-HCWPHJ,M6P,9,Davenport
450130,STR-2101-HLCPHK,M5S,11,University-Rosedale
450131,STR-2101-HTJPHL,M8Z,3,Etobicoke-Lakeshore
450132,STR-2101-JBQPHM,M1M,20,Scarborough Southwest
450133,STR-2101-FGZBHB,M5V,10,Spadina-Fort York
450134,STR-2101-FQGBHC,M9B,3,Etobicoke-Lakeshore
450135,STR-2101-FXMBHD,M8Z,3,Etobicoke-Lakeshore
450136,STR-2101-GFTBHF,M5B,13,Toronto Centre
450137,STR-2101-GMZBHG,M5E,13,Toronto Centre
450138,STR-2101-GWGBHH,M1G,24,Scarborough-Guildwood
450139,STR-2101-HDMBHJ,M6H,9,Davenport
450140,STR-2101-HLTBHK,M4M,14,Toronto-Danforth
450141,STR-2101-HTZBHL,M6B,8,Eglinton-Lawrence
450142,STR-2101-FYCPHD,M8W,3,Etobicoke-Lakeshore
450143,STR-2101-GGJPHF,M5S,11,University-Rosedale
450144,STR-2101-GWWPHH,M4X,13,Toronto Centre
450145,STR-2101-HFCPHJ,M5S,11,University-Rosedale
450146,STR-2101-HMJPHK,M6K,4,Parkdale-High Park
450147,STR-2101-HVQPHL,M4M,14,Toronto-Danforth
450148,STR-2101-JCWPHM,M5J,10,Spadina-Fort York
450149,STR-2101-FRMBHC,M1V,23,Scarborough North
450150,STR-2101-GGZBHF,M6P,9,Davenport
450151,STR-2101-GQGBHG,M5J,10,Spadina-Fort York
450152,STR-2101-GXMBHH,M1P,21,Scarborough Centre
450153,STR-2101-HFTBHJ,M5B,13,Toronto Centre
450154,STR-2101-JDMBHM,M2J,17,Don Valley North
450155,STR-2101-FJWPHB,M3J,7,Humber River-Black Creek
450156,STR-2101-FSCPHC,M5R,11,University-Rosedale
450157,STR-2101-FZJPHD,M5V,10,Spadina-Fort York
450158,STR-2101-GHQPHF,M5J,10,Spadina-Fort York
450159,STR-2101-GYCPHH,M5V,10,Spadina-Fort York
450160,STR-2101-HGJPHJ,M4Y,13,Toronto Centre
450161,STR-2101-HPQPHK,M4L,19,Beaches-East York
450162,STR-2101-HWWPHL,M4W,11,University-Rosedale
450163,STR-2101-JFCPHM,M5V,10,Spadina-Fort York
450164,STR-2101-FZZBHD,M5V,10,Spadina-Fort York
450165,STR-2101-GYTBHH,M2N,18,Willowdale
450166,STR-2101-HXMBHL,M3H,6,York Centre
450167,STR-2101-JFTBHM,M4K,14,Toronto-Danforth
450168,STR-2101-GBQPHD,M4M,14,Toronto-Danforth
450169,STR-2101-GJWPHF,M5H,10,Spadina-Fort York
450170,STR-2101-GSCPHG,M5H,10,Spadina-Fort York
450171,STR-2101-HHQPHJ,M5J,10,Spadina-Fort York
450172,STR-2101-HQWPHK,M6M,5,York South-Weston
450173,STR-2101-HYCPHL,M4Y,13,Toronto Centre
450174,STR-2101-FLTBHB,M4L,14,Toronto-Danforth
450175,STR-2101-FTZBHC,M9C,2,Etobicoke Centre
450176,STR-2101-GCGBHD,M4K,14,Toronto-Danforth
450177,STR-2101-GKMBHF,M4Y,13,Toronto Centre
450178,STR-2101-GSTBHG,M6M,5,York South-Weston
450179,STR-2101-GZZBHH,M2N,18,Willowdale
450180,STR-2101-HJGBHJ,M6K,10,Spadina-Fort York
450181,STR-2101-HRMBHK,M3H,6,York Centre
450182,STR-2101-HYTBHL,M4V,12,Toronto-St. Paul's
450183,STR-2101-JGZBHM,M8W,3,Etobicoke-Lakeshore
450184,STR-2101-FDPKVB,M5A,13,Toronto Centre
450185,STR-2101-FLVKVC,M6G,11,University-Rosedale
450186,STR-2101-FVBKVD,M2J,17,Don Valley North
450187,STR-2101-GKPKVG,M6J,9,Davenport
450188,STR-2101-GSVKVH,M6J,10,Spadina-Fort York
450189,STR-2101-HBBKVJ,M9R,2,Etobicoke Centre
450190,STR-2101-HJHKVK,M6E,8,Eglinton-Lawrence
450191,STR-2101-HRPKVL,M3B,16,Don Valley East
450192,STR-2101-HYVKVM,M5A,13,Toronto Centre
450193,STR-2101-FFDXVB,M9B,3,Etobicoke-Lakeshore
450194,STR-2101-FVRXVD,M6J,11,University-Rosedale
450195,STR-2101-GCXXVF,M6H,9,Davenport
450196,STR-2101-GLDXVG,M4X,13,Toronto Centre
450197,STR-2101-HBRXVJ,M6J,11,University-Rosedale
450198,STR-2101-HSDXVL,M6J,10,Spadina-Fort York
450199,STR-2101-FFVKVB,M1P,21,Scarborough Centre
450200,STR-2101-FPBKVC,M4K,14,Toronto-Danforth
450201,STR-2101-FWHKVD,M9W,1,Etobicoke North
450202,STR-2101-GDPKVF,M4L,19,Beaches-East York
